Questions; Answers;
Bonjour ?; comment puis je vous aider aujourd'hui ?;
Salut ?; Bonjour comment puis je vous aider aujourd'hui ?;
Coucou ?; Bonjour comment puis je vous aider aujourd'hui ?;
Votre Nom ?; Je suis le chabot de la société d'environnement et de plantation de Redeyef (SEPR);
Nom ?; Je suis le chabot de la société d'environnement et de plantation de Redeyef (SEPR);
Vos contact ?; Vous pouvez nous joindre par téléphone ou bien  par email ou via notre site web;
Contact ?; Vous pouvez nous joindre par téléphone par email ou via notre site web;
Au revoir ?; Merci d'avoir contacté la société d'environnement et de plantation de redeyef (SEPR)À bientôt ;
Bay ?; Merci d'avoir contacté la société d'environnement et de plantation de redeyef (SEPR);
Quel est le Rôle de direction général de SEPR ?; La SEPR est responsable de la management stratégique et opérationnelle de l'entreprise qui assure la réalisation des objectifs;
Quel est le soutient de la SEPR aux employés ?; La direction générale de SEPR octroi à ses employés des avances sur salaires selon sa situation financière sachant que les avantages sociales sont absentes puisque l'entreprise n'est pas aussi activée;
Quelle est la vision de la SEPR ?; La vision de notre entreprise est claire c'est d'appliquer les principes de développement durable à travers la responsabilité sociétales de la compagnie des phosphates de Gafsa dans le bassin minier;
Quel vision  avez vous pour SEPR ?; La vision de notre entreprise est claire c'est d'appliquer les principes de développement durable à travers la responsabilité sociétales de la compagnie des phosphates Gafsa dans le bassin minier;
Quelles sont les Nouveautés de SEPR ?; La nouveauté apportée à la société d'environnement et de plantation Redeyef c'est le projet de mettre à niveau de système management qualité (SMQ) ISO 9001 V 2015;
les Nouveautés?; La nouveautés apportées à la société d'environnement et de plantation Redeyef c'est le projet de mettre à niveau de système management qualité (SMQ) ISO 9001 V 2015;
Comment changer un compte bancaire ou postale ?; préparer les documents suivants une demande de changement du compte et une pièce d'identité national en plus d’un main levé de l'ancien banque et enfin un nouveau compte bancaire ou postal;
Changement de Compte ?; préparer les documents suivants : une demande de changement du compte et une pièce d'identité national en plus d’un main levé de l'ancien banque et enfin un nouveau compte bancaire ou postal;
Comment préparer un dossier de retraite ?; L'âge de retraite est à 60 ans ou l'employé doit  être informé  de la date de fin de carrière et doit présenter à la direction de ressources humaines un extrait de la CNSS et  une copie de CIN  plus d’un compte bancaire ou postal et un extrait de naissance;
